artist_name_studio,artist_id
James Blunt,276
Robert Plant,530
Mac Miller,395
Rita Coolidge,527
Trey Songz,730
MC5,394
alt-J,767
Kix,349
Vanessa Carlton,743
Ratt,515
Rage Against The Machine,509
Paramore,475
Cream,122
Eli Young Band,179
Disturbed,159
Howie Day,258
Tesla,618
Carl Wilson,97
Evanescence,192
Buckcherry,90
Survivor,598
Steely Dan,583
NEEDTOBREATHE,446
"""Weird Al"" Yankovic",0
Bush,93
Steppenwolf,586
John Kay,313
for KING & COUNTRY,768
Maria Muldaur,404
Stryper,594
Vertical Horizon,745
The Knack,668
The Breeders,627
Billy Idol,55
The Format,654
The Clash,637
Lindsey Buckingham,371
Chris Rea,109
Burton Cummings,92
Adele,6
John Mellencamp,317
Rickie Lee Jones,524
The Wreckers,710
Britny Fox,87
The Outlaws,680
Delaney & Bonnie,151
Eurythmics,191
Annie Lennox,29
The Cranberries,638
Lone Justice,380
Los Lonely Boys,386
Mona Lisa,435
The Crusaders,640
Switchfoot,603
"Crosby, Stills & Nash",124
Night Ranger,460
Davy Jones,146
Bad Company,40
Extreme,195
Magazine,398
Adam Ant,4
Jamiroquai,279
Michael Nesmith,422
Culture Club,126
The Standells,695
John Cafferty & the Beaver Brown Band,309
Radiohead,508
Cheap Trick,103
Ian Matthews,265
New Found Glory,455
Taylor Dayne,612
Wet Willie,756
Dire Straits,157
Andrew Gold,26
Small Faces,569
BlackHawk,62
Billy Paul,57
Big Country,53
Chris de Burgh,110
Humble Pie,260
Styx,595
Steve Winwood,590
CeeLo Green,100
Slaughter,567
Snoop Dogg,570
Wanda Jackson,751
Richie Havens,522
Henry Lee Summer,250
Van Zant,741
Gilbert O'Sullivan,228
Boz Scaggs,81
Dio,155
Ringo Starr,526
The Moments,673
K'NAAN,334
The Northern Pikes,677
Marvin Gaye,408
Clarence Clemons,112
Level 42,368
Kenny Rogers,342
Wall Of Voodoo,750
The Smithereens,693
Teddy Pendergrass,614
The Kingsmen,666
Frankie Miller,212
Aly & AJ,22
George Thorogood & The Destroyers,227
The Crazy World Of Arthur Brown,639
The Boomtown Rats,626
The Fray,656
Live,377
Marc Cohn,403
