track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness
5RgzfIJ4t4g5VEQwm3JlSq1iXxhUOHD8qIWH6ik5jCN6,0.135,3.519,0.0711,-0.175,-0.002,-0.043,0.0765
5RgzfIJ4t4g5VEQwm3JlSq55AbjCsS1vxaSCCd6MtpEA,0.149,-0.495,0.0691,-0.118,-0.0021,-0.322,0.0539
5K09WxKdlkroDyEVyOSySy1kIgGlaAwTNOWW5qkB4m2B,0.126,-6.251,0.0189,-0.305,0.872,0.274,0.609
1S8YOLgJKX5w4i4UhdbKzk1kIgGlaAwTNOWW5qkB4m2B,0.128,-6.298,0.0196,-0.309,0.872,0.256,0.574
66jm03dlTjtwpSDSmzmB3e5MaPodxMDGdwB0kOhGrNDG,0.066,-22.177,0.0363,-0.126,0.0016,-0.04,0.103
66jm03dlTjtwpSDSmzmB3e6uxMxZArHF92heGJGZSPTk,0.067,-22.177,0.0365,-0.126,0.0016,-0.038,0.103
3oInpJE7Rcn24d6KI0KBlM5MaPodxMDGdwB0kOhGrNDG,0.066,-22.177,0.0363,-0.126,0.0016,-0.04,0.103
3oInpJE7Rcn24d6KI0KBlM6uxMxZArHF92heGJGZSPTk,0.067,-22.177,0.0365,-0.126,0.0016,-0.038,0.103
60Imn16hFW8T0Yry3HQGsP5pSYVSWH1tWBy1BGchUFMs,-0.104,-14.431,-0.0012,-0.013,-0.1511,-0.106,0.0151
60Imn16hFW8T0Yry3HQGsP3aG1VkTaMFnFuSBpzcpE2m,-0.083,-91.359,-0.0005,0.015,-0.1349,-0.324,-0.0239
5AHxvIZBZCUDdAUMLAbLj61VgYNfTRTNHHtRgzrGSjnU,0.214,-24.838,0.036,-0.057,8.57e-06,-0.139,-0.475
6MiF5MPYTZ1GY3cU43tYq61VgYNfTRTNHHtRgzrGSjnU,-0.18,-52.874,0.088,-0.105,-0.0176,-0.234,-0.532
3HL9dtbUo5mJwXQyaEUESR60PM7MpD3QKTTcM8VxyyTO,0.149,3.157,0.1135,-0.171,0.0208,-0.448,-0.0241
3HL9dtbUo5mJwXQyaEUESR22uKzR3vFHdGicIUQ2AVMT,0.118,4.097,0.0392,-0.23,0.0016,-0.277,0.1713
3HL9dtbUo5mJwXQyaEUESR0iVos6A9M8KcYzVZnxQOXv,0.055,1.099,0.0128,-0.22,0.0001,-0.163,0.4523
3HL9dtbUo5mJwXQyaEUESR7L58rDe0nYDBaLvkG4m6q7,0.123,0.918,0.0995,-0.183,0.0012,-0.335,0.054
3HL9dtbUo5mJwXQyaEUESR76Jk0eOy6tjcaIygmduKdV,0.078,7.983,0.0705,-0.217,0.0657,-0.344,0.0193
3HL9dtbUo5mJwXQyaEUESR5ihvwKhb4MB5uxKhrR4ZtN,0.09,0.376,0.0765,-0.182,0.0145,-0.391,-0.0164
3HL9dtbUo5mJwXQyaEUESR5BC78gWDVpj9h5pKMXLoHB,0.139,-0.911,0.063,-0.224,0.0062,-0.348,0.3183
3HL9dtbUo5mJwXQyaEUESR2em2r323VsXqrPHpLKSoZs,0.16,1.782,0.1255,-0.214,0.0021,-0.281,-0.0171
3HL9dtbUo5mJwXQyaEUESR39Lgkh24aXeDyUMz2j0QO3,0.123,0.918,0.0995,-0.183,0.0012,-0.335,0.054
3HL9dtbUo5mJwXQyaEUESR0QNjsDXoCU6BZBalAzeNQ9,0.135,4.063,0.1015,-0.127,0.0108,-0.267,0.2773
3HL9dtbUo5mJwXQyaEUESR1As3PamDGzDBJyx3a5n1Pm,0.093,3.074,0.0302,-0.142,0.0795,-0.317,-0.0137
3HL9dtbUo5mJwXQyaEUESR7tLc6FjatRiO1g860GZ14c,-0.306,-4.198,0.0172,-0.054,-0.0001,-0.09,0.3843
3HL9dtbUo5mJwXQyaEUESR2yk2MBje1jwzgRRJ2gkZVN,0.123,-1.947,0.0306,-0.106,0.0078,-0.281,0.0185
3HL9dtbUo5mJwXQyaEUESR5bURUlRn35yYb3kt0MdpbY,0.1,-1.724,0.0218,-0.231,0.0025,-0.23,0.0645
3HL9dtbUo5mJwXQyaEUESR3gOe3cB76r3WNYUBtO8YPU,0.126,-2.954,0.0328,-0.251,0.0007,-0.317,0.0783
3HL9dtbUo5mJwXQyaEUESR39XKdJSagGu5jshLyVYsW3,0.125,-1.467,0.0314,-0.172,0.0003,-0.335,0.0117
3HL9dtbUo5mJwXQyaEUESR0702UFFKmAb5ruI1qeIaVV,0.139,-0.911,0.063,-0.224,0.0062,-0.348,0.3183
3HL9dtbUo5mJwXQyaEUESR1L2RRn7G3tQ2mS4WsusIZ1,0.151,-0.018,0.0735,-0.24,0.0024,-0.279,0.0853
3HL9dtbUo5mJwXQyaEUESR1lSUTXC8WnjueNQJXcQKT1,0.099,-1.473,0.0248,-0.245,0.0043,-0.241,0.0783
3HL9dtbUo5mJwXQyaEUESR1HtP6PnbzJNXsOKeGrhPlH,0.137,0.654,0.1475,-0.166,0.0556,-0.246,-0.015
3HL9dtbUo5mJwXQyaEUESR05YakWYmkW435kIr78Zd0w,0.075,-0.764,0.0136,-0.239,0.3719,-0.368,-0.0266
3HL9dtbUo5mJwXQyaEUESR3saPzlwtieNBW3lRYUEgN6,0.132,-2.83,0.0525,-0.252,0.1009,-0.215,-0.0069
3HL9dtbUo5mJwXQyaEUESR63wcoGKq9K3dr3fYQNoOjq,0.126,-2.954,0.0328,-0.251,0.0007,-0.317,0.0783
3HL9dtbUo5mJwXQyaEUESR2xGcv1e6BkhIW2tzEhERsO,0.12,-2.013,0.0306,-0.105,0.0091,-0.275,0.0188
3HL9dtbUo5mJwXQyaEUESR3NdNaO5kLq8xE39Qno3Zya,-0.035,-2.963,0.0115,-0.137,0.0525,-0.082,-0.0114
3HL9dtbUo5mJwXQyaEUESR04UkfWNyiLuiJ4gIVeYSln,0.117,3.337,0.0915,-0.244,0.0036,-0.592,-0.0217
3HL9dtbUo5mJwXQyaEUESR3aAnkyuTdDNqjgrgFuxUZN,0.075,-1.298,0.0256,-0.185,-0.0001,-0.073,0.4683
3HL9dtbUo5mJwXQyaEUESR1Zm9Rs65C7AwJuuisfl4SR,0.109,1.982,0.0276,-0.125,0.0,-0.215,0.0216
3HL9dtbUo5mJwXQyaEUESR7n9VawuCtXl47eXqlppSqn,0.135,4.063,0.1015,-0.127,0.0108,-0.267,0.2773
3HL9dtbUo5mJwXQyaEUESR6iEZdQpt3J9mHfloyVVenP,0.138,0.774,0.0655,-0.166,0.0015,-0.314,0.2543
3HL9dtbUo5mJwXQyaEUESR2A2RIfu8NAB2nc2xE7oPxN,0.138,2.402,0.0915,-0.263,0.0034,-0.277,0.1953
3HL9dtbUo5mJwXQyaEUESR5rxdcMr3NnsckVU5m1peuS,-0.306,-4.198,0.0172,-0.054,-0.0001,-0.09,0.3843
3HL9dtbUo5mJwXQyaEUESR5a9unjDuR1Unhq3B0ytsfF,0.109,-4.927,0.0301,-0.225,0.0146,-0.354,-0.0079
3HL9dtbUo5mJwXQyaEUESR1tPWweq0EP2P4Nf7Sn8vZm,-0.048,-2.958,0.0309,-0.119,0.0,-0.237,0.0873
3HL9dtbUo5mJwXQyaEUESR0NGv3OVIGNWUngdJfHV6Un,0.112,1.085,0.0123,-0.171,0.0675,-0.312,-0.0271
5MRe2tbT20UlJvoOmtrIB257OSVHT8iJRY0B9F3YeSQ0,0.165,14.771,0.0107,-0.102,-0.0034,0.0,-0.5414
4loeVMtLexC2PWH3vcXCoE6B7HSfO1q2e56uz0c6ikMu,0.2906,-98.94,-0.011,-0.105,0.0049,-0.0776,0.054
5blNZ70SaWZmgNJwdjGxfq3DgZHWptQ5xVgCwYwHPOhc,0.04,-1.243,-0.0335,-0.014,-0.9121,0.186,-0.2808
5blNZ70SaWZmgNJwdjGxfq2oFmYanhY7cvVEZLKMSrep,-0.082,-82.654,-0.0443,0.002,-0.9149,0.07,-0.121
48yLxNib6ppZSYRud24GYB4Ej1zHa8dEFssSuRAJ6Txh,0.128,31.356,0.182,0.016,-0.0985,0.0654,-0.046
48yLxNib6ppZSYRud24GYB0OdIGxdryb2hspGW4vXLUB,0.296,-26.005,0.009,0.016,0.2901,-0.0036,-0.026
1wO7FZ4s3JSN7npip2zDR02BK2pHOEjGqOoQottD00UK,-0.101,17.318,0.0015,0.057,-0.0001,-0.0433,0.036
445g6f5mZg2x6kFFSETuyh6ngrinaJGQIMM4Rjv5l4Cx,0.093,8.14,0.0129,0.05,-0.0245,-0.033,0.0579
445g6f5mZg2x6kFFSETuyh5jstmMB8wk90QBLhJAqQRC,0.165,4.214,0.0244,-0.033,-0.0279,0.11,-0.0123
4JwIY9hc06XGLCPHQ7mXmV6ngrinaJGQIMM4Rjv5l4Cx,0.027,-2.943,0.0057,-0.072,-0.0057,-0.135,-0.5497
4JwIY9hc06XGLCPHQ7mXmV5jstmMB8wk90QBLhJAqQRC,0.099,-6.869,0.0172,-0.155,-0.0091,0.008,-0.6199
5liSqIuo993Rj1ayyqQqAw6RjffiYbpA5X3QYwYsIV2a,0.131,-74.703,0.0082,-0.205,0.881,-0.187,0.272
2VXUTvGuqBE3AC0ZMkouAe6RjffiYbpA5X3QYwYsIV2a,0.137,16.506,0.0161,-0.359,0.881,-0.178,0.26
2HPaEn6cHI23e6Wxfr7awl1Rf06tcToVYygLc94n4EBx,-0.079,-2.757,-0.0025,0.053,0.58,0.234,0.5389
2HPaEn6cHI23e6Wxfr7awl74Xi16r7i3ove4wTbC1BAi,0.017,1.737,0.0839,-0.073,0.619,-0.071,-0.0185
